Jenis Kelamin,Departemen,Perangkat yang dimiliki,Bagaimana Anda memperbarui sistem operasi Anda?,Instagram,Youtube,WhatsApp,X (Twitter),Facebook,SaaS,PaaS,IaaS,Dbaas,PS1,PS2,PS3,PS4,PS5,PS6,BS1,BS2,BS3,BS4,SN1,SN2,SN3,SN4,SN5,,,,
Laki-laki,FTEIC,"Smartphone, Laptop",Pembaruan Otomatis,1,1,1,1,0,1,0,0,0,5,3,3,5,1,5,4,3,4,4,2,4,4,2,2,,,,
Laki-laki,FTEIC,"Smartphone, Laptop",Pembaruan Manual,1,1,1,1,0,1,0,0,0,4,3,1,5,1,5,2,1,3,2,4,5,2,5,3,,,,
Perempuan,FSAD,"Smartphone, Laptop",Pembaruan Manual,1,1,1,1,0,1,0,0,0,4,1,3,1,4,5,2,2,2,3,2,2,2,3,4,,,,
Perempuan,FKK,"Smartphone, Laptop",Pembaruan Otomatis,1,1,1,1,0,1,0,0,0,5,2,3,1,2,5,3,3,4,2,2,2,2,5,2,,,,
Perempuan,FV,"Smartphone, Laptop",Pembaruan Otomatis,1,1,1,1,0,1,0,0,0,4,2,4,5,5,5,5,3,3,4,2,3,4,4,4,,,,
Perempuan,FTEIC,"Smartphone, Laptop",Pembaruan Otomatis,1,1,1,1,1,1,0,0,0,5,5,1,2,3,5,5,3,4,4,3,4,5,5,5,,,,
Laki-laki,FDKBD,"Smartphone, Laptop",Pembaruan Manual,1,1,1,1,0,1,0,0,0,4,2,3,5,2,5,4,5,4,5,3,4,3,5,4,,,,
Laki-laki,FDKBD,"Smartphone, Laptop",Pembaruan Otomatis,1,1,1,0,0,1,0,0,0,5,3,3,4,2,5,4,4,4,3,4,4,4,4,4,,,,
Perempuan,FDKBD,"Smartphone, Laptop",Pembaruan Manual,1,1,1,0,0,1,1,0,0,5,3,2,4,4,5,4,3,4,4,4,4,4,3,4,,,,
Perempuan,FDKBD,"Smartphone, Laptop",Pembaruan Otomatis,1,1,1,1,0,1,0,0,0,4,4,2,4,2,5,4,3,4,3,2,4,4,4,3,,,,
Laki-laki,FTIRS,"Smartphone, Laptop",Pembaruan Manual,1,1,1,0,0,1,1,1,0,4,5,5,2,3,5,4,2,4,5,4,5,3,4,3,,,,
Laki-laki,FSAD,"Smartphone, Laptop",Tidak ada pembaruan,1,1,1,0,1,1,1,1,1,2,2,3,3,5,5,5,4,3,4,5,5,4,4,4,,,,
Laki-laki,FTEIC,"Smartphone, Laptop",Pembaruan Otomatis,1,1,1,1,1,1,0,1,1,4,1,2,3,1,4,5,3,5,3,4,4,2,4,4,,,,
Perempuan,FTEIC,"Smartphone, Laptop",Pembaruan Otomatis,1,1,1,1,1,1,0,1,0,4,2,3,2,4,5,4,3,5,4,3,4,4,5,1,,,,
Perempuan,FV,"Smartphone, Laptop, Tablet",Pembaruan Otomatis,1,1,1,1,0,1,0,0,1,2,1,1,4,1,5,2,3,4,2,2,3,2,4,3,,,,
Laki-laki,FTEIC,"Smartphone, Laptop, Tablet",Pembaruan Otomatis,1,1,1,0,0,1,0,0,0,1,1,1,2,1,3,2,2,2,2,2,3,2,2,3,,,,
Perempuan,FKK,"Smartphone, Laptop, Tablet",Pembaruan Otomatis,1,1,1,1,0,1,0,1,0,2,1,1,4,2,5,3,4,2,2,2,3,2,3,4,,,,
Laki-laki,FTSPK,"Smartphone, Laptop",Pembaruan Otomatis,1,1,1,0,1,1,1,0,0,2,2,2,3,1,4,3,2,4,2,1,2,2,5,3,,,,
Perempuan,FV,"Smartphone, Laptop",Pembaruan Otomatis,1,1,1,1,0,1,0,0,0,2,2,2,1,2,4,4,4,4,4,1,3,3,3,2,,,,
Laki-laki,FTEIC,"Smartphone, Laptop",Pembaruan Otomatis,1,1,1,0,0,1,1,0,0,5,5,3,1,3,5,5,5,5,3,5,5,1,5,1,,,,
Perempuan,FKK,"Smartphone, Laptop",Pembaruan Manual,1,1,1,1,0,1,1,1,0,2,1,2,3,1,5,4,2,4,3,2,4,4,5,3,,,,
Perempuan,FTIRS,"Smartphone, Laptop, Tablet",Pembaruan Otomatis,1,1,1,0,0,1,1,0,0,5,3,2,5,3,5,5,3,4,4,4,2,2,5,2,,,,
Laki-laki,FTEIC,"Smartphone, Laptop",Pembaruan Otomatis,1,1,1,0,1,1,0,0,0,2,1,3,3,2,5,2,4,2,3,1,1,1,5,2,,,,
Perempuan,FDKBD,"Smartphone, Laptop",Pembaruan Manual,1,1,1,1,0,0,1,1,0,3,3,1,5,1,5,3,4,4,4,5,5,5,4,5,,,,
Perempuan,FTSPK,"Smartphone, Laptop",Pembaruan Otomatis,1,1,1,1,0,1,0,0,0,2,2,1,5,3,5,3,3,4,5,5,5,4,5,5,,,,
Laki-laki,FTEIC,"Smartphone, Laptop",Pembaruan Manual,1,1,1,1,1,1,1,1,0,4,3,2,4,4,5,4,3,5,5,5,4,5,3,4,,,,
Perempuan,FSAD,"Smartphone, Laptop",Pembaruan Otomatis,1,0,1,1,0,1,0,0,0,4,3,1,4,2,5,3,4,4,3,5,4,2,4,5,,,,
Laki-laki,FTEIC,"Smartphone, Laptop",Pembaruan Otomatis,1,1,1,1,0,1,1,0,1,3,2,2,1,5,5,4,3,4,3,4,5,2,5,5,,,,
Laki-laki,FKK,"Smartphone, Laptop, Tablet",Pembaruan Manual,1,1,1,0,0,1,0,0,1,4,1,1,5,1,4,4,3,4,2,4,2,2,3,3,,,,
Perempuan,FTIRS,"Smartphone, Laptop",Pembaruan Manual,1,1,1,0,1,1,0,0,0,1,1,2,1,2,5,2,4,5,3,3,4,3,2,4,,,,
Perempuan,FSAD,"Smartphone, Laptop",Pembaruan Otomatis,1,1,1,1,0,1,1,0,0,5,1,1,5,3,5,3,4,4,4,4,3,4,4,5,,,,
